chromosome,gene_id,gene_symbol,P-value,Zscore,Direction,regulation,heterogeneity_I_squared,heterogeneity_Chi_squared,heterogeneity_degrees_of_freedom_squared,heterogeneity_P-value
19,ENSG00000142227,EMP3,3.34E-09,5.914,++,Upregulated in AD,0,0.313,1,0.5757
2,ENSG00000157833,GAREM2,4.96E-09,5.849,++,Upregulated in AD,64.7,2.836,1,0.09219
22,ENSG00000183963,SMTN,5.14E-09,5.843,++,Upregulated in AD,0.2,1.002,1,0.3169
1,ENSG00000117266,CDK18,5.34E-09,5.836,++,Upregulated in AD,30.5,1.439,1,0.2303
20,ENSG00000124126,PREX1,5.36E-09,5.836,++,Upregulated in AD,42.7,1.744,1,0.1866
9,ENSG00000196814,MVB12B,6.58E-09,5.801,++,Upregulated in AD,11.8,1.134,1,0.2869
1,ENSG00000198744,MTCO3P12,7.39E-09,5.782,0+,Upregulated in AD,92.8,13.909,1,0.0001918
14,ENSG00000126803,HSPA2,7.50E-09,5.779,++,Upregulated in AD,60.7,2.544,1,0.1107
17,ENSG00000131095,GFAP,8.24E-09,5.763,++,Upregulated in AD,0,0.694,1,0.4047
1,ENSG00000133069,TMCC2,8.27E-09,5.763,++,Upregulated in AD,16.6,1.199,1,0.2735
17,ENSG00000108349,CASC3,1.06E-08,5.721,++,Upregulated in AD,0,0.033,1,0.8553
14,ENSG00000020577,SAMD4A,1.24E-08,5.694,++,Upregulated in AD,0,0.009,1,0.9231
8,ENSG00000197892,KIF13B,1.30E-08,5.686,++,Upregulated in AD,78.6,4.664,1,0.0308
9,ENSG00000175287,PHYHD1,1.39E-08,5.675,++,Upregulated in AD,0,0.453,1,0.5007
14,ENSG00000165801,ARHGEF40,1.43E-08,5.67,++,Upregulated in AD,0,0.125,1,0.7239
12,ENSG00000111328,CDK2AP1,1.44E-08,5.669,++,Upregulated in AD,0,0.884,1,0.347
11,ENSG00000170276,HSPB2,1.63E-08,5.647,++,Upregulated in AD,79.2,4.806,1,0.02837
12,ENSG00000155980,KIF5A,1.91E-08,5.62,++,Upregulated in AD,0,0.185,1,0.6673
8,ENSG00000104472,CHRAC1,2.23E-08,5.593,++,Upregulated in AD,0,0.015,1,0.9024
5,ENSG00000087116,ADAMTS2,2.67E-08,5.562,++,Upregulated in AD,0,0.469,1,0.4932
3,ENSG00000158186,MRAS,2.77E-08,5.555,++,Upregulated in AD,39.5,1.653,1,0.1985
3,ENSG00000184307,ZDHHC23,2.88E-08,-5.548,--,Downregulated in AD,0,0.673,1,0.4122
11,ENSG00000021300,PLEKHB1,3.01E-08,5.541,++,Upregulated in AD,0,0.294,1,0.5877
12,ENSG00000111602,TIMELESS,3.06E-08,5.538,++,Upregulated in AD,0,0.197,1,0.6574
11,ENSG00000172935,MRGPRF,3.27E-08,5.527,++,Upregulated in AD,85.6,6.95,1,0.008381
1,ENSG00000204219,TCEA3,3.53E-08,5.513,++,Upregulated in AD,0,0.223,1,0.6369
19,ENSG00000051128,HOMER3,3.61E-08,5.509,++,Upregulated in AD,77.6,4.467,1,0.03455
16,ENSG00000132613,MTSS1L,3.71E-08,5.504,++,Upregulated in AD,0,0.326,1,0.5679
3,ENSG00000170275,CRTAP,3.91E-08,5.495,++,Upregulated in AD,0,0.129,1,0.7191
1,ENSG00000007908,SELE,4.44E-08,-5.472,--,Downregulated in AD,47.2,1.895,1,0.1686
17,ENSG00000108828,VAT1,4.55E-08,5.468,++,Upregulated in AD,0,0.3,1,0.5837
16,ENSG00000282034,AC106886.5,4.62E-08,5.465,++,Upregulated in AD,37.4,1.596,1,0.2064
3,ENSG00000164050,PLXNB1,4.74E-08,5.461,++,Upregulated in AD,0,0.494,1,0.482
9,ENSG00000119403,PHF19,5.41E-08,5.437,++,Upregulated in AD,0,0.509,1,0.4754
1,ENSG00000132688,NES,6.90E-08,5.394,++,Upregulated in AD,0,0.005,1,0.9427
9,ENSG00000137076,TLN1,7.48E-08,5.379,++,Upregulated in AD,0,0.055,1,0.8148
12,ENSG00000086159,AQP6,8.64E-08,5.353,++,Upregulated in AD,66.9,3.021,1,0.08221
2,ENSG00000168918,INPP5D,9.28E-08,5.34,++,Upregulated in AD,0,0.183,1,0.6687
22,ENSG00000100227,POLDIP3,9.80E-08,5.33,++,Upregulated in AD,0,0.538,1,0.4634
1,ENSG00000157978,LDLRAP1,9.93E-08,5.328,++,Upregulated in AD,0,0.006,1,0.9363
17,ENSG00000173801,JUP,1.03E-07,5.321,++,Upregulated in AD,0,0.152,1,0.6966
19,ENSG00000074219,TEAD2,1.05E-07,5.319,++,Upregulated in AD,11.4,1.128,1,0.2881
1,ENSG00000177807,KCNJ10,1.21E-07,5.292,++,Upregulated in AD,3.9,1.041,1,0.3076
1,ENSG00000117298,ECE1,1.41E-07,5.265,++,Upregulated in AD,0,0.117,1,0.7325
X,ENSG00000184481,FOXO4,1.43E-07,5.261,++,Upregulated in AD,31.3,1.456,1,0.2276
6,ENSG00000079841,RIMS1,1.55E-07,-5.247,--,Downregulated in AD,0,0.415,1,0.5196
16,ENSG00000140931,CMTM3,1.57E-07,5.244,++,Upregulated in AD,0,0.163,1,0.6868
17,ENSG00000177469,CAVIN1,1.59E-07,5.241,++,Upregulated in AD,0,0.513,1,0.474
9,ENSG00000196739,COL27A1,1.59E-07,5.241,++,Upregulated in AD,0,0.513,1,0.474
8,ENSG00000147421,HMBOX1,1.60E-07,5.241,++,Upregulated in AD,0,0.529,1,0.4672
6,ENSG00000092820,EZR,1.61E-07,5.24,++,Upregulated in AD,56.1,2.276,1,0.1314
17,ENSG00000154945,ANKRD40,1.66E-07,5.234,++,Upregulated in AD,0,0.178,1,0.6731
11,ENSG00000133789,SWAP70,1.76E-07,5.223,++,Upregulated in AD,0,0.019,1,0.8908
19,ENSG00000105137,SYDE1,1.90E-07,5.209,++,Upregulated in AD,0,0.192,1,0.6609
7,ENSG00000106665,CLIP2,1.91E-07,5.207,++,Upregulated in AD,0,0.605,1,0.4368
16,ENSG00000198417,MT1F,2.14E-07,5.186,++,Upregulated in AD,11.6,1.131,1,0.2875
6,ENSG00000111961,SASH1,2.22E-07,5.18,++,Upregulated in AD,0,0.15,1,0.6987
19,ENSG00000197256,KANK2,2.35E-07,5.169,++,Upregulated in AD,0,0.001,1,0.9741
11,ENSG00000179241,LDLRAD3,2.36E-07,5.169,++,Upregulated in AD,0,0.419,1,0.5173
11,ENSG00000134802,SLC43A3,2.38E-07,5.167,++,Upregulated in AD,66.1,2.952,1,0.08576
20,ENSG00000101187,SLCO4A1,2.49E-07,5.158,++,Upregulated in AD,0,0.252,1,0.6154
22,ENSG00000100139,MICALL1,2.54E-07,5.155,++,Upregulated in AD,9.6,1.107,1,0.2928
19,ENSG00000197044,ZNF441,2.55E-07,-5.154,--,Downregulated in AD,0,0.577,1,0.4477
16,ENSG00000166669,ATF7IP2,2.63E-07,-5.148,--,Downregulated in AD,0,0.005,1,0.9439
X,ENSG00000165175,MID1IP1,2.68E-07,5.144,++,Upregulated in AD,83.8,6.157,1,0.01309
1,ENSG00000143409,MINDY1,2.77E-07,5.139,++,Upregulated in AD,0,0.596,1,0.4402
6,ENSG00000130368,MAS1,2.90E-07,-5.13,--,Downregulated in AD,0,0.835,1,0.361
3,ENSG00000154783,FGD5,2.98E-07,5.124,++,Upregulated in AD,0,0.805,1,0.3696
19,ENSG00000105227,PRX,3.10E-07,5.117,++,Upregulated in AD,0,0.718,1,0.3969
8,ENSG00000160886,LY6K,3.26E-07,-5.108,--,Downregulated in AD,0,0.262,1,0.6089
10,ENSG00000148841,ITPRIP,3.47E-07,5.096,++,Upregulated in AD,0,0.054,1,0.8157
6,ENSG00000152034,MCHR2,3.55E-07,-5.092,--,Downregulated in AD,16.6,1.199,1,0.2736
10,ENSG00000170324,FRMPD2,3.56E-07,-5.091,--,Downregulated in AD,0,0.41,1,0.5218
5,ENSG00000183111,ARHGEF37,3.75E-07,5.081,++,Upregulated in AD,0,0.84,1,0.3595
16,ENSG00000153048,CARHSP1,3.84E-07,5.077,++,Upregulated in AD,75.9,4.149,1,0.04167
1,ENSG00000116786,PLEKHM2,3.95E-07,5.071,++,Upregulated in AD,46.1,1.857,1,0.173
17,ENSG00000131899,LLGL1,4.02E-07,5.068,++,Upregulated in AD,0,0.449,1,0.5028
19,ENSG00000176401,EID2B,4.41E-07,-5.05,--,Downregulated in AD,0,0.353,1,0.5524
14,ENSG00000100906,NFKBIA,4.52E-07,5.046,++,Upregulated in AD,80,5.001,1,0.02533
5,ENSG00000228672,PROB1,4.58E-07,5.043,++,Upregulated in AD,23.8,1.312,1,0.252
9,ENSG00000148411,NACC2,4.80E-07,5.034,++,Upregulated in AD,0,0.234,1,0.6284
10,ENSG00000170759,KIF5B,5.18E-07,5.02,++,Upregulated in AD,0,0.031,1,0.8599
17,ENSG00000129250,KIF1C,5.35E-07,5.013,++,Upregulated in AD,0,0.106,1,0.7442
16,ENSG00000183196,CHST6,5.40E-07,5.012,++,Upregulated in AD,0,0.018,1,0.8931
12,ENSG00000111087,GLI1,5.41E-07,5.011,++,Upregulated in AD,71,3.452,1,0.06317
17,ENSG00000180891,CUEDC1,5.48E-07,5.009,++,Upregulated in AD,56.5,2.297,1,0.1297
7,ENSG00000011426,ANLN,5.90E-07,4.994,++,Upregulated in AD,12.5,1.143,1,0.2851
19,ENSG00000123136,DDX39A,6.01E-07,4.991,++,Upregulated in AD,55.1,2.229,1,0.1354
1,ENSG00000162889,MAPKAPK2,6.04E-07,4.99,++,Upregulated in AD,0,0.102,1,0.7499
11,ENSG00000186635,ARAP1,6.09E-07,4.988,++,Upregulated in AD,0,0.706,1,0.4008
14,ENSG00000021645,NRXN3,6.24E-07,-4.984,--,Downregulated in AD,0.9,1.009,1,0.3151
22,ENSG00000185022,MAFF,6.69E-07,4.97,++,Upregulated in AD,0,0.36,1,0.5487
17,ENSG00000167693,NXN,6.98E-07,4.962,++,Upregulated in AD,0,0.052,1,0.8193
11,ENSG00000165458,INPPL1,7.28E-07,4.954,++,Upregulated in AD,1.4,1.014,1,0.3138
7,ENSG00000164850,GPER1,7.82E-07,4.94,++,Upregulated in AD,0,0.714,1,0.398
16,ENSG00000140750,ARHGAP17,7.98E-07,4.936,++,Upregulated in AD,6.7,1.071,1,0.3006
22,ENSG00000182902,SLC25A18,8.07E-07,4.934,++,Upregulated in AD,55.6,2.254,1,0.1333
17,ENSG00000179029,TMEM107,8.10E-07,-4.933,--,Downregulated in AD,66.2,2.96,1,0.08535
12,ENSG00000166111,SVOP,8.70E-07,-4.919,--,Downregulated in AD,0,0.201,1,0.6537
11,ENSG00000177105,RHOG,8.75E-07,4.918,++,Upregulated in AD,0,0.491,1,0.4837
17,ENSG00000179314,WSCD1,8.86E-07,4.916,++,Upregulated in AD,28,1.388,1,0.2387
14,ENSG00000165821,SALL2,9.27E-07,4.906,++,Upregulated in AD,0,0.018,1,0.8942
16,ENSG00000135736,CCDC102A,9.53E-07,4.901,++,Upregulated in AD,2.5,1.025,1,0.3113
14,ENSG00000100600,LGMN,9.71E-07,-4.897,--,Downregulated in AD,62.4,2.662,1,0.1028
2,ENSG00000115598,IL1RL2,9.82E-07,-4.895,--,Downregulated in AD,0,0.135,1,0.7136
2,ENSG00000144057,ST6GAL2,9.91E-07,-4.894,--,Downregulated in AD,0,0.513,1,0.4739
2,ENSG00000079308,TNS1,9.94E-07,4.893,++,Upregulated in AD,0,0.042,1,0.8368
18,ENSG00000101746,NOL4,1.01E-06,-4.889,--,Downregulated in AD,0,0.019,1,0.8912
2,ENSG00000185414,MRPL30,1.02E-06,-4.888,--,Downregulated in AD,0,0.047,1,0.8275
15,ENSG00000166716,ZNF592,1.06E-06,4.881,++,Upregulated in AD,0,0.039,1,0.8431
2,ENSG00000071054,MAP4K4,1.09E-06,4.874,++,Upregulated in AD,0,0.008,1,0.9297
3,ENSG00000018408,WWTR1,1.11E-06,4.87,++,Upregulated in AD,0,0.274,1,0.6005
11,ENSG00000124942,AHNAK,1.15E-06,4.864,++,Upregulated in AD,0,0.541,1,0.4621
20,ENSG00000149451,ADAM33,1.20E-06,4.855,++,Upregulated in AD,0,0.035,1,0.8515
5,ENSG00000113721,PDGFRB,1.22E-06,4.852,++,Upregulated in AD,0,0.302,1,0.5828
4,ENSG00000170153,RNF150,1.23E-06,-4.852,--,Downregulated in AD,0,0.265,1,0.6066
9,ENSG00000148204,CRB2,1.32E-06,4.837,++,Upregulated in AD,0,0.36,1,0.5484
20,ENSG00000088881,EBF4,1.33E-06,4.835,++,Upregulated in AD,31.7,1.465,1,0.2261
5,ENSG00000112851,ERBIN,1.37E-06,4.83,++,Upregulated in AD,0,0.019,1,0.8918
2,ENSG00000115468,EFHD1,1.45E-06,4.818,++,Upregulated in AD,0,0.093,1,0.7608
15,ENSG00000166912,MTMR10,1.46E-06,4.817,++,Upregulated in AD,46.3,1.863,1,0.1723
15,ENSG00000128917,DLL4,1.49E-06,4.812,++,Upregulated in AD,0,0.16,1,0.6892
5,ENSG00000113100,CDH9,1.51E-06,-4.81,--,Downregulated in AD,0,0.412,1,0.5208
14,ENSG00000165959,CLMN,1.52E-06,4.808,++,Upregulated in AD,0,0.96,1,0.3271
10,ENSG00000168209,DDIT4,1.53E-06,4.808,++,Upregulated in AD,73.5,3.778,1,0.05194
19,ENSG00000141858,SAMD1,1.55E-06,4.805,++,Upregulated in AD,0,0.113,1,0.7369
7,ENSG00000146966,DENND2A,1.56E-06,4.804,++,Upregulated in AD,0,0.426,1,0.5141
3,ENSG00000189058,APOD,1.58E-06,4.801,++,Upregulated in AD,0,0.01,1,0.9211
20,ENSG00000042062,RIPOR3,1.60E-06,4.798,++,Upregulated in AD,60.7,2.545,1,0.1106
7,ENSG00000236609,ZNF853,1.60E-06,4.798,++,Upregulated in AD,71.5,3.507,1,0.06109
10,ENSG00000150760,DOCK1,1.62E-06,4.795,++,Upregulated in AD,0,0.276,1,0.5997
22,ENSG00000100146,SOX10,1.63E-06,4.795,++,Upregulated in AD,0,0.071,1,0.7893
4,ENSG00000171476,HOPX,1.67E-06,-4.789,--,Downregulated in AD,0,0.181,1,0.6702
5,ENSG00000256235,SMIM3,1.70E-06,4.786,++,Upregulated in AD,42.5,1.74,1,0.1871
4,ENSG00000145358,DDIT4L,1.75E-06,4.78,++,Upregulated in AD,0,0.045,1,0.8315
16,ENSG00000260549,MT1L,1.93E-06,4.761,++,Upregulated in AD,0,0.439,1,0.5076
20,ENSG00000101096,NFATC2,1.94E-06,4.759,++,Upregulated in AD,0,0.547,1,0.4595
7,ENSG00000136205,TNS3,1.97E-06,4.757,++,Upregulated in AD,0,0.013,1,0.9092
8,ENSG00000147571,CRH,2.03E-06,-4.75,--,Downregulated in AD,0,0.401,1,0.5265
1,ENSG00000055070,SZRD1,2.03E-06,4.75,++,Upregulated in AD,0,0.028,1,0.8676
7,ENSG00000128564,VGF,2.04E-06,-4.75,--,Downregulated in AD,0,0.024,1,0.8781
11,ENSG00000149564,ESAM,2.05E-06,4.748,++,Upregulated in AD,0,0.002,1,0.9682
8,ENSG00000164684,ZNF704,2.07E-06,4.746,++,Upregulated in AD,0,0.073,1,0.7863
17,ENSG00000186834,HEXIM1,2.13E-06,4.741,++,Upregulated in AD,0,0.394,1,0.53
15,ENSG00000104112,SCG3,2.14E-06,-4.74,--,Downregulated in AD,0,0.001,1,0.9798
3,ENSG00000169064,ZBBX,2.14E-06,-4.74,--,Downregulated in AD,0,0,1,0.9925
1,ENSG00000160685,ZBTB7B,2.17E-06,4.737,++,Upregulated in AD,45.4,1.833,1,0.1758
7,ENSG00000166508,MCM7,2.23E-06,4.731,++,Upregulated in AD,45.3,1.829,1,0.1762
7,ENSG00000122512,PMS2,2.26E-06,-4.729,--,Downregulated in AD,0,0.915,1,0.3388
1,ENSG00000186094,AGBL4,2.27E-06,-4.728,--,Downregulated in AD,0,0.231,1,0.6306
4,ENSG00000183090,FREM3,2.27E-06,-4.727,--,Downregulated in AD,61.7,2.612,1,0.1061
3,ENSG00000163673,DCLK3,2.28E-06,-4.727,--,Downregulated in AD,0,0.483,1,0.4869
17,ENSG00000108784,NAGLU,2.34E-06,4.721,++,Upregulated in AD,58.6,2.418,1,0.12
9,ENSG00000178031,ADAMTSL1,2.37E-06,-4.719,--,Downregulated in AD,0,0.595,1,0.4405
6,ENSG00000112039,FANCE,2.44E-06,4.713,++,Upregulated in AD,0,0.868,1,0.3514
20,ENSG00000125850,OVOL2,2.44E-06,-4.713,--,Downregulated in AD,0,0.011,1,0.9148
12,ENSG00000170439,METTL7B,2.45E-06,4.712,++,Upregulated in AD,0,0.248,1,0.6185
1,ENSG00000143127,ITGA10,2.49E-06,4.709,++,Upregulated in AD,0,0.111,1,0.7393
3,ENSG00000163820,FYCO1,2.52E-06,4.707,++,Upregulated in AD,0,0.11,1,0.7406
18,ENSG00000141655,TNFRSF11A,2.54E-06,-4.705,--,Downregulated in AD,38.3,1.622,1,0.2028
11,ENSG00000166682,TMPRSS5,2.58E-06,4.702,++,Upregulated in AD,0,0.771,1,0.3799
15,ENSG00000140545,MFGE8,2.64E-06,4.697,++,Upregulated in AD,36.4,1.572,1,0.2099
18,ENSG00000134759,ELP2,2.64E-06,-4.697,--,Downregulated in AD,52.5,2.107,1,0.1467
8,ENSG00000104415,WISP1,2.74E-06,4.689,++,Upregulated in AD,82,5.544,1,0.01855
X,ENSG00000198883,PNMA5,2.78E-06,-4.686,--,Downregulated in AD,3.3,1.035,1,0.3091
12,ENSG00000135111,TBX3,2.83E-06,4.683,++,Upregulated in AD,0,0.002,1,0.9612
15,ENSG00000176463,SLCO3A1,2.85E-06,4.681,++,Upregulated in AD,0,0.079,1,0.7784
15,ENSG00000140575,IQGAP1,2.90E-06,4.678,++,Upregulated in AD,0,0.293,1,0.5886
X,ENSG00000183943,PRKX,3.06E-06,4.667,++,Upregulated in AD,0,0.148,1,0.7006
18,ENSG00000081913,PHLPP1,3.08E-06,4.665,++,Upregulated in AD,0,0.532,1,0.4658
16,ENSG00000072864,NDE1,3.10E-06,4.664,++,Upregulated in AD,0,0.249,1,0.6179
1,ENSG00000092621,PHGDH,3.18E-06,4.659,++,Upregulated in AD,0,0.16,1,0.6888
1,ENSG00000184371,CSF1,3.20E-06,4.657,++,Not differentially expressed,0,0.004,1,0.9526
7,ENSG00000106078,COBL,3.26E-06,4.653,++,Not differentially expressed,0,0.711,1,0.3991
12,ENSG00000094916,CBX5,3.28E-06,4.652,++,Not differentially expressed,0,0.288,1,0.5915
17,ENSG00000136451,VEZF1,3.31E-06,4.65,++,Not differentially expressed,0,0.229,1,0.6325
12,ENSG00000161642,ZNF385A,3.35E-06,4.648,++,Not differentially expressed,0,0.143,1,0.7051
2,ENSG00000152154,TMEM178A,3.46E-06,-4.642,--,Not differentially expressed,0,0.373,1,0.5413
15,ENSG00000169105,CHST14,3.58E-06,4.634,++,Not differentially expressed,0,0.063,1,0.8017
13,ENSG00000126218,F10,3.62E-06,4.632,++,Not differentially expressed,76.9,4.33,1,0.03745
5,ENSG00000145832,SLC25A48,3.64E-06,4.631,++,Not differentially expressed,87.2,7.836,1,0.005122
10,ENSG00000138207,RBP4,3.74E-06,-4.625,--,Not differentially expressed,34.4,1.524,1,0.2171
3,ENSG00000082781,ITGB5,3.75E-06,4.625,++,Not differentially expressed,0,0.142,1,0.706
1,ENSG00000162433,AK4,3.79E-06,4.623,++,Not differentially expressed,0,0.002,1,0.966
8,ENSG00000168081,PNOC,3.79E-06,-4.623,--,Not differentially expressed,44.4,1.799,1,0.1799
6,ENSG00000146147,MLIP,3.80E-06,-4.622,--,Not differentially expressed,0,0.25,1,0.6169
21,ENSG00000243927,MRPS6,3.82E-06,4.621,++,Not differentially expressed,0,0.357,1,0.5502
15,ENSG00000182253,SYNM,4.00E-06,4.612,++,Not differentially expressed,0,0.045,1,0.8322
1,ENSG00000074964,ARHGEF10L,4.03E-06,4.61,++,Not differentially expressed,0,0.634,1,0.4258
16,ENSG00000167191,GPRC5B,4.04E-06,4.61,++,Not differentially expressed,0,0.006,1,0.9395
3,ENSG00000114853,ZBTB47,4.04E-06,4.609,++,Not differentially expressed,0,0.305,1,0.5808
2,ENSG00000125637,PSD4,4.07E-06,4.608,++,Not differentially expressed,74,3.845,1,0.0499
12,ENSG00000050426,LETMD1,4.20E-06,-4.601,--,Not differentially expressed,0,0.031,1,0.8604
5,ENSG00000164406,LEAP2,4.21E-06,4.601,++,Not differentially expressed,59.6,2.473,1,0.1158
10,ENSG00000107736,CDH23,4.34E-06,4.594,++,Not differentially expressed,0,0.323,1,0.57
15,ENSG00000128849,CGNL1,4.45E-06,4.589,++,Not differentially expressed,0,0.118,1,0.7308
22,ENSG00000183773,AIFM3,4.48E-06,4.588,++,Not differentially expressed,0,0.974,1,0.3236
9,ENSG00000131669,NINJ1,4.58E-06,4.583,++,Not differentially expressed,0,0,1,0.9983
4,ENSG00000168743,NPNT,4.62E-06,4.581,++,Not differentially expressed,0,0.11,1,0.7399
12,ENSG00000089159,PXN,4.74E-06,4.576,++,Not differentially expressed,0,0.013,1,0.9084
13,ENSG00000102452,NALCN,4.74E-06,-4.576,--,Not differentially expressed,0,0.285,1,0.5935
7,ENSG00000146535,GNA12,4.92E-06,4.568,++,Not differentially expressed,0,0.218,1,0.6404
1,ENSG00000117280,RAB29,4.92E-06,4.568,++,Not differentially expressed,0,0.012,1,0.9133
21,ENSG00000142173,COL6A2,4.94E-06,4.567,++,Not differentially expressed,0,0,1,0.9914
1,ENSG00000173641,HSPB7,4.98E-06,4.566,++,Not differentially expressed,0,0.151,1,0.6976
10,ENSG00000150175,FRMPD2B,5.10E-06,-4.561,--,Not differentially expressed,0,0.025,1,0.874
8,ENSG00000164949,GEM,5.13E-06,4.56,++,Not differentially expressed,1.2,1.012,1,0.3143
10,ENSG00000171206,TRIM8,5.43E-06,4.548,++,Not differentially expressed,0,0.087,1,0.7676
22,ENSG00000128346,C22orf23,5.60E-06,4.541,++,Not differentially expressed,0,0.059,1,0.8083
9,ENSG00000148180,GSN,5.61E-06,4.541,++,Not differentially expressed,5.3,1.056,1,0.3042
19,ENSG00000188039,NWD1,5.82E-06,4.533,++,Not differentially expressed,0,0.001,1,0.979
3,ENSG00000031081,ARHGAP31,5.92E-06,4.529,++,Not differentially expressed,0,0.009,1,0.9238
1,ENSG00000187801,ZFP69B,5.94E-06,-4.528,--,Not differentially expressed,0,0.067,1,0.7954
15,ENSG00000188549,CCDC9B,5.95E-06,4.528,++,Not differentially expressed,13.5,1.156,1,0.2824
1,ENSG00000203668,CHML,6.13E-06,-4.522,--,Not differentially expressed,0,0.357,1,0.5504
2,ENSG00000115282,TTC31,6.15E-06,4.521,++,Not differentially expressed,0,0.042,1,0.8385
3,ENSG00000160796,NBEAL2,6.18E-06,4.52,++,Not differentially expressed,0,0.018,1,0.8933
6,ENSG00000124570,SERPINB6,6.30E-06,4.516,++,Not differentially expressed,0,0.02,1,0.8883
1,ENSG00000158715,SLC45A3,6.36E-06,4.514,++,Not differentially expressed,71.7,3.534,1,0.06011
15,ENSG00000140497,SCAMP2,6.55E-06,4.508,++,Not differentially expressed,0,0.256,1,0.6126
9,ENSG00000097007,ABL1,6.82E-06,4.499,++,Not differentially expressed,0,0.074,1,0.7852
2,ENSG00000119729,RHOQ,6.96E-06,4.495,++,Not differentially expressed,0,0.184,1,0.6679
10,ENSG00000165424,ZCCHC24,6.99E-06,4.494,++,Not differentially expressed,0,0.07,1,0.7914
3,ENSG00000153558,FBXL2,6.99E-06,-4.494,--,Not differentially expressed,0,0.021,1,0.8861
15,ENSG00000172183,ISG20,7.00E-06,4.494,++,Not differentially expressed,0,0.103,1,0.7486
15,ENSG00000166831,RBPMS2,7.01E-06,4.493,++,Not differentially expressed,0,0.862,1,0.3531
5,ENSG00000113269,RNF130,7.02E-06,4.493,++,Not differentially expressed,0,0.298,1,0.585
2,ENSG00000155368,DBI,7.15E-06,4.489,++,Not differentially expressed,0,0.692,1,0.4055
12,ENSG00000151952,TMEM132D,7.51E-06,-4.479,--,Not differentially expressed,0,0.159,1,0.6905
22,ENSG00000100242,SUN2,7.53E-06,4.478,++,Not differentially expressed,27.9,1.387,1,0.2389
3,ENSG00000233487,RPSAP69,7.77E-06,-4.472,--,Not differentially expressed,44.4,1.799,1,0.1798
7,ENSG00000188763,FZD9,7.86E-06,4.469,++,Not differentially expressed,80.1,5.022,1,0.02503
1,ENSG00000175206,NPPA,7.95E-06,-4.467,--,Not differentially expressed,0,0.248,1,0.6184
21,ENSG00000185658,BRWD1,7.95E-06,-4.467,--,Not differentially expressed,0,0.005,1,0.9449
4,ENSG00000174473,GALNTL6,8.02E-06,-4.465,--,Not differentially expressed,28,1.388,1,0.2387
16,ENSG00000140682,TGFB1I1,8.03E-06,4.464,++,Not differentially expressed,0,0.114,1,0.7359
11,ENSG00000166387,PPFIBP2,8.07E-06,4.463,++,Not differentially expressed,0,0.678,1,0.4104
12,ENSG00000057704,TMCC3,8.15E-06,4.461,++,Not differentially expressed,0,0.237,1,0.6266
11,ENSG00000166333,ILK,8.24E-06,4.459,++,Not differentially expressed,0,0.351,1,0.5534
16,ENSG00000103449,SALL1,8.25E-06,4.459,++,Not differentially expressed,0,0.102,1,0.7494
X,ENSG00000047644,WWC3,8.29E-06,4.458,++,Not differentially expressed,0,0.723,1,0.3951
12,ENSG00000174243,DDX23,8.90E-06,4.442,++,Not differentially expressed,18.5,1.227,1,0.268
1,ENSG00000142961,MOB3C,8.97E-06,4.441,++,Not differentially expressed,0,0.181,1,0.6706
22,ENSG00000184208,C22orf46,9.22E-06,4.435,++,Not differentially expressed,0,0.015,1,0.9027
17,ENSG00000213859,KCTD11,9.29E-06,4.433,++,Not differentially expressed,15.7,1.186,1,0.276
